cellName	geneSymbol
Glutaminergic neurons	Glutaminergic neurons	Slc17a7,Grin1,Meis2,Slc17a8,Slc1a1
Glycinergic neurons	Glycinergic neurons	Slc6a9
Goblet cells	Goblet cells	Nlrp6,Slc9a8,Otogl,Itln1,Cdon,Tmem207,Cdx2,Guca2a,Muc13,Clca1,Tpsg1,Galnt12,Atoh1,Rep15,Pla2g10,Lrrc26,Manf,Spink4
Granulosa cells	Granulosa cells	Amh,Bok,Fhl1,Inha,Gm10681,Gm15294,Hsd17b1,Hjurp,Fshr,Cyp19a1
Hemangioblasts	Hemangioblasts	Tal1
Hematopoietic stem cells	Hematopoietic stem cells	Mpl,Slamf1,Baalc,Cdcp1,Tgfb2,Ptpre,Taf7,Gata2,Gpr171,Nfe2,Lyl1,Elf1,Hlf,Rgs18,Myct1,Mycs,Arid3a,Itga2b,Txnip,Ptprs,Gfi1,Cd48,Hmgb3,Apc,Gnl3,Mgst1,Prnp,Siglecf,Hlx,Nkx3-1,Ncor2,Mecom,Ctnnal1,Pbx2,Neo1,Maff,Cdh2,Gfi1b,Notch2,Plxdc2,Esam,Trpc6,Tet2
Hepatic stellate cells	Hepatic stellate cells	Adamts13,Cygb,Ppara,Nr1h4,Pnpla3,Ngfr,Myb,Syp,Vcl,Tagln,Col1a2,Col3a1,Rbp1,Myl9,Tpm2,Bgn,Igfbp3,Olfml3,Igfbp6,Colec11,Hgf
Hepatoblasts	Hepatoblasts	Afp,Krt14,Hnf4a,Map2k4,Krt18,Krt8,Met
Hepatocytes	Hepatocytes	Fosl1,Eppk1,Gck,Lrp5,Slc10a1,Atp7b,Gjb2,Fgfr4,Crp,Tfr2,Kif13b,Lipc,G6pc,Otc,Ugt1a1,Zhx2,Foxa3,Foxa1,Cyp7a1,Cyp1a2,Gpc3,Cyp1a1,Nr1i3,Cps1,Gls2,Tat,Prrg4,Apoh,Abcc3,Plscr1,Fga,Apob,Ang5,Sat2,Sfrp5,A1cf,Fgl1,Pah,Serpina6,Apoa2,Fgg,Apoc3,Orm3,Hal,Hmgcs1,Acss2,Tm7sf2,Sec16b,Slbp,Rnd3,Ghr,Aldh6a1,Masp2,Glul,Asl,Tmem97,Cp,Acat3,Tm4sf5,Msmo1,Rcan1,Rpp25l,Apom,Tkfc,Pon3,Ttc36,Golt1a,Mcc,Aqp9,Nnt,Saa4,Mrps18c,Ociad1,Apoa5,Entpd5,C4b,Eid2,Atic,Samd5,Grb14,Abcd3,Rhob,Epb41l4b,Gpat4,Sptbn1,Sdc2,Phlda1,Wtap,Acadm
Immature neurons	Immature neurons	Pclo,Cux2,Slc12a5,Stim2,Cul5,Hivep2,Ntrk3,Rnd2,Fezf2,Sox5,Robo1,Epha7,Epha3,Notch3,Lhx6,Nes,Rbfox3,Creb1,Ascl1,Syn1,Nf1,Bcl2,Slc6a5,Foxd2,Icam5,Neurog2
Intercalated cells	Intercalated cells	Foxi1,Atp6v1b1,Slc4a8,Aqp6,Atp6v1c2,Atp6v1g3,Atp6v0d2,Oxgr1,Avpr1a,Rhbg,Dmrt2,P2ry14,Insrr
Interneurons	Interneurons	Cck,Vsx2,Evx1,Lhx3,Grm1,Oprm1,Grin2d,Tacr1,Crhr1,Pacsin1,Fgf12,Nxph1,Syt7,Ptpro,Dlgap1,Gng4,Hap1,Shisa8,Pcbp3,Abat,Pcp4l1,Synpr,Trh,Adcy8,Eml5,Tmem132d,Bace1,Cacng2,AK157302,Lpgat1,Nat14,Slc22a15,Pde4a,Cacna1i,Fryl,Surf1,Trim9,Kcnc1,Rab3b,Cdk17,Rgs17,Rab26,Cacng7,Inafm1,Brinp1,Pianp,Cplx1,Shisa6,Nrsn2,Cdhr1,Abr,Nrn1,Nxph4,Shisa9,Ly6g6e,Caln1,Cask,Fam81a,Camkv,Arhgap21,Ddn,Sv2b,Frrs1l,Acsl4,Nptxr,Hpcal4,Lypd1,Chn1,Nrgn,Camk2a,Prkcb,Ncald,Rab15,Fbxw11,Adcy1,Fbxo11,Igsf21,Ntng1,Magee1,Scamp1,Psd3,Rora,Dcaf7,Vgf,Rgma,Scrt1,Pou2f2,Srgap1,Slc16a1,Slc36a1,Atg12,Agap1,Zdhhc22,Acbd5,Zdhhc17,Zic4,Ids,Dnajc6,Adgra1,Dzank1,Scn2b,Hspa12a,Lynx1,Kcna2,Oxr1,Disp2,Shox2,Scn8a,Aak1,Gabra4,Nrip3,Prkcd,Ptpn3,Kcnc2,Cdkl5,Ccdc136,Kcnma1,Spock3,Ptpn4,Pdp1,Rgs7bp,Plcb4,Elmo1,Adarb1,Ildr2,Akap8l,Spty2d1,Pcf11,Cldn9,Tceal6,Rorb,Timeless,Cga,Rprml,Cacnb1,Kcnq5,Gabra5,Htr3a,Kcnip2,Rgs10,Cpne5,Crh,Dlx2,Dlx5
Ionocytes	Ionocytes	Ascl3,Foxn4,Tfcp2l1,Slc9a4,Slc9a7
Juxtaglomerular cells	Juxtaglomerular cells	Trpv4,Myh11,Cnn1
Keratinocytes	Keratinocytes	Flg,Kprp,Tgm1,Krt1,Gm5478,Krt16,Krt17,Lama5,Gjb3,Irf3,Lamc2,Sirt7,Ripk4,Rel,Il13ra1,Sgpp1,Pkp3,Pkp1,Anxa8,Trim29,Dsc3,Krt15,S100a14,Dmkn,Fgf5,Tfap2a,Lgals7,Sfn,Krt10,Sbsn,Krt84,Krt36
Kidney progenitor cells	Kidney progenitor cells	Osr1,Eya1,Sall1
Kupffer cells	Kupffer cells	Tnf,Mpo,Prok2,Stard5,Msr1,Trem1,Chit1,Osm,Clec4f,Slc40a1,Timd4,Slc15a3,Ccr5,Folr2,Pltp,Irf7,Spic,Csf1r,C1qc,C1qa,C1qb,Clec4e
Langerhans cells	Langerhans cells	Ccr6
Leydig cells	Leydig cells	Hsd11b2,Gm28040,Pde8a,Cxcl10,Dhcr7,Cyp17a1,Cyp11a1,Igf1,Nr5a2,Lhcgr,Mlana,Rln1,Rln3,Star,Thbs2,Hsd17b3,Cyp26b1,Igfbp5,Inhba,Vit,Ednra,Adam21,Esrrg,Gprc6a,Gas6,Plaur
Loop of Henle cells	Loop of Henle cells	Cldn16,Cldn19,Slc12a1,Cdh6,Dkk1,Slc11a2,Arvcf,Parvb,Sh3rf2,Gem,Enc1,Spsb1,Arid5a,Slc14a2,Rnf182,Dram1,Arc,Nek6,Smarcd3,Kcnt1,Ptgs2,Ppp1r1b,Lipg,Lrrc66
Luminal epithelial cells	Luminal epithelial cells	Fgfr2,Sytl2,Saa3,Krt23,Btg1-ps1,Stc2,Tnfsf10,Pip,Ddr1,Cebpd,Uxt,Pth1r,Atp2c2,Esr1
Luteal cells	Luteal cells	Akt1,Sfrp4,Plin5,Gm5096,Pgam1,Chka,Pmpcb,Bcat1,Aif1l,Epdr1,Avpi1,Gamt,Tmem86a,Cited4,Fkbp5,Me1
Macrophages	Macrophages	Itgal,Gpr34,Cpm,F13a1,Tgfbr1,Slamf9,Pira2,C3ar1,Parp14,Rbpj,Slco2b1,March1,Egln3,Fgl2,Clec4d,Adam8,Arl11,Mmp12,Ms4a4a,Fpr1,Rab20,Snx20,Fmnl1,Nceh1,Ccl24,C5ar1,Cd300a,Ccl12,Irf5,Myo1g,Dusp5,Samsn1,Hilpda,Slc37a2,Ctsk,Lpcat2,Hpgds,Ifnar2,Ms4a7,Hpgd,Cd5l,Cyth4,Cd3e,Treml4,Fgr,Cybb,Cd200,Cd200r2,Tyrobp,Rgs1,P2ry6,Maf,Adgre5,Slc7a7,Syk
